,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
306,"Augusti, Bertha",Augusti Bertha,Augusti,Bertha,12. Dezbr. 1886
307,"Augusti, Brigitte",Augusti Brigitte,Augusti,Brigitte,.
308,"Augustin, Ferdinand Freiherr von",Augustin Ferdinand,Augustin,Ferdinand,22. Novbr. 1807
309,"Augustin, Marie Baronin von",Augustin Marie,Augustin,Marie,13. Febr.1886
310,"Augustiny, Johann Rhode Friedrich",Augustiny Johann Rhode Friedrich,Augustiny,Johann Rhode Friedrich,6. April 1803
311,"Augustiny, Thomas Friedrich",Augustiny Thomas Friedrich,Augustiny,Thomas Friedrich,25. Juni 1838
312,"Augustsohn, W",Augustsohn W,Augustsohn,W,.
313,"Aulenbach, Friedrich",Aulenbach Friedrich,Aulenbach,Friedrich,20. Juni 1810
314,"Aulenbach, Karl",Aulenbach Karl,Aulenbach,Karl,.
315,"Ausfeld, Anna",Ausfeld Anna,Ausfeld,Anna,.
316,"Ausfeld, Karl",Ausfeld Karl,Ausfeld,Karl,9. August1907
317,"Außhart, Sebastian",Außhart Sebastian,Außhart,Sebastian,.
318,"Aust, Gerhard",Aust Gerhard,Aust,Gerhard,.
319,"Austerlitz, Rose",Austerlitz Rose,Austerlitz,Rose,.
320,"Auzinger, Peter",Auzinger Peter,Auzinger,Peter, Oktober 1836
321,"Avé-Lallemant, Friedrich Christian Benedikt",Avé-Lallemant Friedrich Christian Benedikt,Avé-Lallemant,Friedrich Christian Benedikt, Mai 1809
322,"Avé-Lallemant, Robert Christian Berthold",Avé-Lallemant Robert Christian Berthold,Avé-Lallemant,Robert Christian Berthold,25. Juli 1812
323,"Avenarius, Ferdinand",Avenarius Ferdinand,Avenarius,Ferdinand,20. Dezbr. 1856
324,"Averdieck, C. von",Averdieck C.,Averdieck,C.,.
325,"Averina, J. von",Averina J.,Averina,J.,.
326,"Axaméthy-Racher, Rosa",Axaméthy-Racher Rosa,Axaméthy-Racher,Rosa,27. Juni 1857
327,"Ayrer, Gustav Heinrich",Ayrer Gustav Heinrich,Ayrer,Gustav Heinrich,14. Mai 1810
328,"Baader, Amalie",Baader Amalie,Baader,Amalie,6. Januar 1859
329,"Baars, Ernst",Baars Ernst,Baars,Ernst,26. Novbr.1864
330,"Baas, Eduard",Baas Eduard,Baas,Eduard,23. März1877
331,"Bab, Julius",Bab Julius,Bab,Julius,11. Dezbr.1880
332,"Bäbchen, August",Bäbchen August,Bäbchen,August,.
333,"Baeblich, Lucie",Baeblich Lucie,Baeblich,Lucie,.
334,"Baeblich, Hermann",Baeblich Hermann,Baeblich,Hermann,20. Mai 1832
